Restaurant,Cuisine,Neighborhood,Dollar,Address,City,State,latitude,longitude,precision,service
Alegria,Mexican,Vienna,$$,111 Church St.,Vienna,VA,38.482607058609,-75.8262044979116,place,OpenStreetMaps
Ardeo & Bardeo,American,Cleveland Park,$$$,3311 Connecticut Ave. NW,Washington,DC,38.9339164,-77.0570908388898,building,OpenStreetMaps
Ayse,Middle Eastern,Frederick,$$,6 N. East St.,Frederick,MD,39.4050018,-77.4038112,highway,OpenStreetMaps
Baby Wale,American,Mount Vernon Triangle,$$,1124 9th St. NW,Washington,DC,38.9050569285714,-77.0240540714286,place,OpenStreetMaps
Bangkok Golden,Laotian,Seven Corners,$,6395 Seven Corners Center,Seven Corners,VA,,,ERROR: list index out of range,OpenStreetMaps
Bar Pilar,American,Logan Circle,$$,1833 14th St. NW,Washington,DC,38.9151255,-77.0315828,amenity,OpenStreetMaps
Bartlett Pear Inn,American,Easton,$$$,28 S. Harrison St,Easton,MD,38.773619,-76.0740949,highway,OpenStreetMaps
Bastille,French,Old Town Alexandria,$$$,1201 N. Royal St.,Old Town Alexandria,VA,,,ERROR: list index out of range,OpenStreetMaps
Birch and Barley,American,Logan Circle,$$$,1337 14th St. NW,Washington,DC,38.9084824,-77.0316071,amenity,OpenStreetMaps
Black's Bar and Kitchen,American,Bethesda,$$$,7750 Woodmont Ave.,Bethesda,MD,38.9871184621057,-77.0961240045567,place,OpenStreetMaps
Blacksalt,Seafood,Palisades,$$$$,4883 MacArthur Blvd. NW,Washington,DC,38.9177879,-77.0966086,amenity,OpenStreetMaps
BLT Steak,Steakhouse,Downtown,$$$$,1625 I St. NW,Washington,DC,38.9017153,-77.0376021,amenity,OpenStreetMaps
Blue Duck Tavern,American,West End,$$$$,1201 24th St. NW,Washington,DC,38.9057969,-77.0510924,tourism,OpenStreetMaps
Bombay Club,Indian,Downtown,$$$,815 Connecticut Ave. NW,Washington,DC,38.9008896,-77.0380208,amenity,OpenStreetMaps
Bonchon Chicken,Korean,Clarendon,$,2209-E N. Pershing Dr.,Clarendon,VA,38.881275,-77.084287,place,OpenStreetMaps
Boqueria,Spanish,Dupont Circle,$$,1837 M St. NW,Washington,DC,38.9057342676243,-77.0422485228689,place,OpenStreetMaps
Bourbon Steak,Steakhouse,Georgetown,$$$$,2800 Pennsylvania Ave. NW,Washington,DC,38.9046911,-77.0572437,tourism,OpenStreetMaps
Brabo by Robert Wiedmaier,Belgian,Old Town Alexandria,$$$$,1600 King St.,Old Town Alexandria,VA,,,ERROR: list index out of range,OpenStreetMaps
Casa Luca,Italian,Downtown,$$$,1099 New York Ave. NW,Washington,DC,38.9015167,-77.0264924,amenity,OpenStreetMaps
Cashion's Eat Place,American,Adams Morgan,$$$$,1819 Columbia Rd. NW,Washington,DC,38.9218896,-77.0436621,amenity,OpenStreetMaps
Cava Mezze,Greek,Eastern Market,$$,527 8th St. SE,Washington,DC,38.8819133,-76.9952601,amenity,OpenStreetMaps
Cava Mezze,Greek,Clarendon,$$,527 8th St. SE,Washington,DC,38.8819133,-76.9952601,amenity,OpenStreetMaps
Cava Mezze,Greek,Rockville,$$,9713 Traville Gateway Drive,Rockville,MD,,,ERROR: list index out of range,OpenStreetMaps
Central Michel Richard,American,Penn Quarter,$$$,1001 Pennsylvania Ave. NW,Washington,DC,38.8950137,-77.0264929,amenity,OpenStreetMaps
CityZen,American,Downtown,$$$$,1330 Maryland Ave. SW,Washington,DC,38.8835916,-77.0304489,tourism,OpenStreetMaps
Corduroy,American,Mount Vernon Triangle,$$$$,1122 9th St. NW,Washington,DC,38.9050814,-77.0242552,amenity,OpenStreetMaps
Cork,American,Logan Circle,$$$,1720 14th St. NW,Washington,DC,38.913322,-77.0322326,amenity,OpenStreetMaps
Daikaya,Japanese,Penn Quarter,$$,705 6th St. NW,Washington,DC,38.8985575,-77.019801,place,OpenStreetMaps
Del Campo,Latin,Penn Quarter,$$$,777 I St. NW,Washington,DC,38.9011053,-77.0227291,amenity,OpenStreetMaps
DGS Delicatessan,Jewish,Dupont Circle,$$,1317 Connecticut Ave. NW,Washington,DC,38.9076612123808,-77.0421760750481,place,OpenStreetMaps
Doi Moi,Asian Fusion,Logan Circle,$$$,1800 14th St. NW,Washington,DC,38.9142634,-77.0322156,amenity,OpenStreetMaps
8407 Kitchen Bar,American,Silver Spring,$$$$,8407 Ramsey Ave. ,Silver Spring,MD,38.9939665,-77.028990175,amenity,OpenStreetMaps
Estadio,Spanish,Logan Circle,$$$,1520 14th St. NW,Washington,DC,38.9102557,-77.0322099,place,OpenStreetMaps
Ethiopic,Ethiopian,H Street,$$,401 H St. NE,Washington,DC,38.9000242,-77.0003904,amenity,OpenStreetMaps
Etto,Italian,Logan Circle,$$$,1541 14th St. NW,Washington,DC,38.9110049,-77.0316696,amenity,OpenStreetMaps
Et Voila,Belgian,Palisades,$$$,5120 MacArthur Blvd.,Washington,DC,38.9254351,-77.102318,amenity,OpenStreetMaps
Fiola,Italian,Penn Quarter,$$$,678 Indiana Ave. NW,Washington,DC,38.893964,-77.021258,place,OpenStreetMaps
Food Wine & Co.,American,Bethesda,$$$,7272 Wisconsin Ave.,Bethesda,MD,38.9818779795918,-77.0931029183674,place,OpenStreetMaps
G by Mike Isabella,Sandwiches,U Street,$$,2201 14th St. NW,Washington,DC,38.91932685,-77.0314961653725,building,OpenStreetMaps
Graffiato,Italian,Penn Quarter,$$$,707 6th St. NW,Washington,DC,38.89861975,-77.019801,place,OpenStreetMaps
Green Pig Bistro,American,Clarendon,$$,1025 N. Fillmore St,Clarendon,VA,38.8861653,-77.0927312,amenity,OpenStreetMaps
Hank's Oyster Bar,Seafood,Dupont Circle,$$$,1624 Q St. NW,Washington,DC,38.910831,-77.0381262218827,building,OpenStreetMaps
Hank's Oyster Bar,Seafood,Capitol Hill,$$$,633 Pennsylvania Ave. SE,Washington,DC,38.8852240338586,-76.9977731377155,place,OpenStreetMaps
Hank's Oyster Bar,Seafood,Old Town Alexandria,$$$,1026 King St. ,Old Town Alexandria,VA,,,ERROR: list index out of range,OpenStreetMaps
The Inn at Little Washington,American,Washington,$$$$,309 Middle St.,Washington,VA,38.7134208,-78.1590623,highway,OpenStreetMaps
Izakaya Seki,Japanese,U Street,$$$,1117 V. St. NW,Washington,DC,38.9182529,-77.0277977742092,building,OpenStreetMaps
Jaleo,Spanish,Penn Quarter,$$,480 7th St. NW,Washington,DC,38.8959243,-77.0221617,amenity,OpenStreetMaps
Johnny's Half Shell,Seafood,Capitol Hill,$$$,400 N. Capitol St. NW,Washington,DC,38.8953291,-77.0093388,building,OpenStreetMaps
Kapnos,Greek,U Street,$$$,2201 14th St. NW,Washington,DC,38.91932685,-77.0314961653725,building,OpenStreetMaps
Kaz Sushi Bistro,Japanese,Downtown,$$$,1915 I St. NW,Washington,DC,38.90147,-77.044253,amenity,OpenStreetMaps
Kogiya,Korean,Annandale,$$,4220-A Annandale Rd.,Annandale,VA,38.839469,-77.1990959,highway,OpenStreetMaps
Komi,Greek,Dupont Circle,$$$$,1509 17th St. NW,Washington,DC,38.910096,-77.0382584,amenity,OpenStreetMaps
La Limena,Peruvian,Rockville,$,765-B Rockville Pike,Rockville,MD,39.0782614615385,-77.1410603846154,place,OpenStreetMaps
L'Auberge Chez Francois,French,Great Falls,$$$$,332 Springvale Rd.,Great Falls,VA,39.034708,-77.3095229,highway,OpenStreetMaps
La Table Provencale,French,White Post,$$$$,13630 Lord Fairfax Hwy.,White Post,VA,39.0666676510067,-78.096500852349,place,OpenStreetMaps
Le Diplomate,French,Logan Circle,$$$,1610 14th St. NW,Washington,DC,38.9115521,-77.0322758,amenity,OpenStreetMaps
